,Unnamed: 0,years,patent_abstract,patent_id
82563,200042,1980s,"A method is provided of determining saturation values corresponding to particular locations in a sample of a porous media, whereby such saturation values can be used in conjunction with corresponding capillary pressures to derive a capillary pressure curve. The method of the invention involves the use of nuclear magnetic resonance (NMR) imaging to obtain NMR intensity values corresponding to the locations of interest. Intensity is related to saturation by an appropriate function which is employed to determine the saturation values from the intensity values.",4868500
82565,168240,1980s,"A woven slide fastener stringer comprising a woven stringer tape and a coupling element assembly woven into the tape along its one longitudinal edge. The assembly includes a row of coupling elements spaced along and molded around a connector. Each coupling element has a pair of grooves extending transversely through a pair of first and second leg portions, respectively, on their respective outer sides. A pair of anchor threads extend through the grooves of the first leg portions and through the grooves of the second leg portions, respectively, along the full length of the coupling element row. A weft thread of the tape has a plurality of loops each encircling the connector and the anchor threads between adjacent coupling elements. Each loop of the weft thread is open widely, perpendicularly of the general plane of the tape, urging the anchor threads toward one another between adjacent coupling elements to hold the individual coupling elements firmly in position.",4401138
82566,81156,1980s,"A process for recovering crude oil from a subterranean formation comprising injecting into the formation a liquid composition consisting essentially of a specific surfactant in an aqueous medium and injecting a gas to urge the composition toward a production well. The surfactant has the general formula RCH.sub.2 CH.dbd.C(R)CH.sub.2 O(CH.sub.2 CH.sub.2 O).sub.m X, wherein R is C.sub.3 -C.sub.8 alkyl, m is an integer from 1 to 10, and X is a sulfonate, sulfate, glyceryl sulfonate, or carboxylate anion neutralized by a sodium, potassium, or ammonium cation.",4736795
82570,56467,1980s,"A composite blasthead (18,20,70,72,118,120) for a quench station (16) of a glass sheet tempering system (10) is disclosed as including outer layers (28,71,73,128,128') and an inner layer comprising inserts (30,32,34,74,76,130,130') therebetween for defining passages (36,80,82,136) through which cooling gas is supplied to a glass sheet in order to provide tempering. All of the inserts have inner end portions (38,40,42,81,138,138') that cooperate to define inlets (44,86,144,144') to the passages and also have outer end portions (46,48,50,88,146,146') that cooperate to define passage outlets (52,90,152,152') through which the quenching gas exits. All of the passages have a circular cross section along substantially the entire length of the passages. All of the inserts are of a configuration such that the passages of each blasthead are aligned with the passages of the other blasthead, so that the gas impinges on the glass surfaces in an opposed relationship with a uniform pattern over said surfaces thereby optimizing the degree of glass tempering.",4470838
82576,433084,1980s,"An apparatus which moves documents in a recirculating path from a stack to an imaging station. Successive uppermost document are fed from the stack to the imaging station. After imaging, the documents are returned to the bottom of the stack.",4368973
82619,274835,1980s,"A process for the preparation of liquid developer compositions containing dyed polymer particles with an average diameter of from about 2 to about 6 microns, which particles are dispersed in an oil base, charge control additives, and stabilizers thereby permitting image transfer efficiencies exceeding 80 percent, which comprises formulating polymer particles by dispersion polymerization in a mixture comprised of a first oil base solvent, and a second solvent with a higher volatility than said first solvent, and further containing an amphipathic steric stabilizer; thereafter dyeing the product resulting; followed by removal of the more volatile second solvent; and subsequently adding to the dyed product a charge control additive.",4789616
82626,356622,1980s,"Extrusion apparatus including rotary shell having plural circumferential rows of extrusion orifices and a stationary inner member, defining with said shell, circumferential channels communicating with said orifices.",4397628
82628,4940,1980s,"A robot installation in a production line includes at least one robot (1) of pendulum type, the arm system (10, 14) of which is pivotable about at least one axis (12). The secondary arm (14) of the robot and a counterweight (16) are so displaceably arranged on the primary arm (10) of the robot that the centre of gravity of the arm system lies on or in immediate proximity to the pivot axis (12) independently of the position of the secondary arm (14) on the primary arm (10). To this end, the counterweight (16) and the secondary arm (14) are movably interconnected by means of a rope (18) running around rope wheels (20) at the ends of the primary arm (10). When mounting several robots of this kind on a stand (34, 35) positioned across the production line (31), the robots are mounted symmetrically in pairs on opposed side walls of the overhead stand part (35).",4695027
82661,80746,1980s,"A polymer composition comprising a thermoplastic polycarbonate and a terpolymer of recurring units of a monovinyl aromatic monomer recurring units of a maleimide monomer and recurring units of an .alpha., .beta. ethylenically unsaturated cyclic anhydride monomer is disclosed.",4493920
82700,394352,1980s,An optical recording member for storing data by the selective ablation of a layer of energy absorbing material by laser address including a layer of recording material and at least one layer of a polymeric material having a second order glass transition temperature less than 293.degree. K. contiguous to at least one surface of the layer of recording material.,4268840
82712,274571,1980s,"The present invention is an operator replaceable cartridge which is used in an apparatus for binding together a plurality of sheets to form a bound booklet. The flow of adhesive stored in the chamber of the housing is regulated to control the distribution of the adhesive on an applicator blade. The applicator blade is mounted on the housing and is of the length at least equal to the length of the marginal region of the sheet. In operation, the applicator blade reciprocates into and out of contact with the marginal region of the sheet to form a line of adhesive thereon.",4707215
82741,558083,1980s,Process for the recovery of oil from a subterranean oil reservoir involving injection into the reservoir of a substantially oil-free aqueous liquid containing a surfactant having a nonionic polyalkylene oxide hydrophilic group and an anionic sulfonate hydrophilic group molecularly linked to a common lipophilic base. The invention is applicable to reservoirs in which the connate waters have relatively high concentrations of divalent ions and in situations in which the water available for injection purposes contains relatively high amounts of divalent ions. Specifically disclosed surfactants include aliphatic aryl polyalkoxyol sulfonates in which the polyalkoxyol group contains at least three alkylene oxide units and is derived from ethylene oxide or propylene oxide or mixtures thereof. The aliphatic groups may be substituted directly on the aryl nucleus or indirectly as through an intermediate succinimido group.,4340492
82811,395185,1980s,"Toner images are fused to a substrate, such as paper, with a heated fusing member having a silicone elastomer fusing surface by coating the elastomer fusing surface with a toner release agent which includes an unblended polydimethyl siloxane having a kinematic viscosity of from about 7,000 centistokes to about 20,000 centistokes. In a preferred embodiment the polydimethyl siloxane oil has a kinematic viscosity of from about 10,000 to about 16,000 centistokes and the fuser member is a fuser roll having a thin layer of a crosslinked product of a mixture of .alpha..omega.-dihydroxypolydimethyl siloxane, finely divided tabular alumina and finely divided iron oxide.",4515884
82841,212315,1980s,"A process for the determination of serum inorganic phosphate utilizing a centrifugal analytical photometer. By optimizing the concentration of surfactant and surfactant media, the reaction rate is increased and the pretest mixing time reduced. The improved process is particularly useful for the rapid and accurate determination of inorganic phosphate in body fluids, such as blood serum.",4220451
82884,273917,1980s,"A multicolor display which comprises a high contrast liquid crystal device, light source and a luminance balanced color mask. The liquid crystal device is the transmissive, twisted nematic type having high extinction ratio polarizers on the input and output sides and functions as a light shutter for the display. The liquid crystal material has a dichroic dye admixed therein to prevent buildup of the contrast limiting orthogonal mode electric vector of polarized light. The color mask contains different colored patches with gray surround about them, and each colored patch is luminance balanced in order that each different colored data presented are of substantially equal brightness. during the off-state there is no light bleed through so that the display presents a uniformly dark state or dead front.",4506956
82897,329983,1980s,"A portable device for simply and quickly measuring nerve conduction velocities in patients so as to assist the physician in diagnosing the onset of conditions that can cause permanent damage to the patient's nerves and muscles. The device is pocket-size, hand-held and battery-operated, and therefore it can be used by the physician on a day to day basis to provide a useful, objective parameter of the patient's clinical progress.",4807643
82902,168524,1980s,"A drawing device for use in a drafting machine has a base movable to any desired position; at least one drawing pencil fixedly secured to the base through a holder unit fixed to the latter; a driving arrangement capable of moving part of the drawing pencil longitudinally thereof relative to the base, and a stopper adapted to limit the upward movement of movable component parts of the drawing pencil. The drawing pencil comprises a casing having a lead guide fixedly secured to the leading end thereof; a pipe member slidably mounted in the casing, and having a chuck ring fixedly secured to the lower end thereof, said pipe member having a sleeve tightly fitted and fixedly secured to the outer peripheral surface of the upper part thereof, said sleeve being connected to the driving arrangement; and a lead stock having a space for lead stock formed in the upper part thereof and also having a lead chuck fixedly secured to the lower end thereof so as to achieve lead holding function in cooperation with the chuck ring, said lead stock being slidably mounted in the pipe member. Further, the lead guide has a lead holder bushing which gives a lead holding force more than that afforded by the lead chuck and which is movable vertically within a predetermined extent.",4704797
82908,433696,1980s,"A compact, two-dimensional full-frame document illumination and imaging device is formed by combining a short focal length imaging area array, such as a gradient index fiber lens area array, with a light source formed in the fiber interstitial areas of the array. The light source is addressed to provide a uniform illumination level at a document platen interface. The full document image is reflected back to the array and projected onto a photosensitive image plane.",4557581
82917,200017,1980s,"A combination of an npn transistor, a pnp transistor and associated circuitry is utilized to provide a threshold amplifier which has a variable threshold. The voltage level at the emitter of the npn transistor, when the npn transistor is off, determines the variable threshold. A second pnp transistor is preferably utilized to provide a means by which the threshold voltage can be set to a very low voltage level.",4843260
82937,273978,1980s,"A sheet transport for a photocopier for reversing the direction of sheet travel has only an outer curved guide surface, and input, intermediate and output drive rolls spaced apart less than the length of a sheet. The disengageable output drive nip cooperates with an opposed guide surface and one or more retractable stops to achieve registration of the copy sheet with the image.",4523832
82938,212375,1980s,"Carbon monoxide-containing gas streams are passed over a catalyst capable of catalyzing the disproportionation of carbon monoxide so as to deposit a surface layer of active surface carbon on the catalyst essentially without formation of inactive coke thereon. The surface layer is contacted with steam and is thus converted to methane and CO.sub.2, from which a relatively pure methane product may be obtained. For practical commercial operations utilizing the two-step process of the invention of a cyclic basis, nickel, cobalt, ruthenium, thenium and alloys thereof are especially prepared for use in a metal state, with CO disproportionation being carried out at temperatures up to about 350.degree. C. and with the conversion of active surface carbon to methane being carried out by reaction with steam. The catalyst is employed in such cyclic operations without the necessity for employing a regeneration step as part of each processing cycle. Inactive carbon or coke that tends to form on the catalyst over the course of continuous operations utilizing such cyclic process is effectively and advantageously removed, on a periodic basis, in place of conventional burn off with an inert stream containing a low concentration of oxygen.",4242104
83012,432568,1980s,An ink jet printer is disclosed of the type wherein a plurality of nozzles emit parallel streams of droplets toward a target. Each nozzle has a charging electrode to charge droplets selectively depending upon whether a particular droplet is intended for the target or a gutter. A pair of deflection plates span the paths of the droplet streams and deflects the charged droplets according to information to be printed. A multiple field electrostatic lens is used to align charged droplets from different nozzles to a common line on the target despite misalignments between nozzles relative to the common line.,4222059
83022,77385,1980s,"Phenylpiperazine derivatives of the formula: ##STR1## wherein R.sub.1 is a hydrogen atom or a straight- or branched-chain saturated or unsaturated alkyl group having 1 to 8 carbon atoms which may be substituted at any position by a hydroxyl group, a carboxyl group, a lower alkoxycarbonyl group or an oxo group; and R.sub.2 is a hydrogen atom, a halogen atom, a lower alkyl group or a sulfamoyl group, and a process for producing the same are disclosed. The derivatives of the formula have alpha blocking and serotonin antagonizing activities and are useful as a drug.",4578465
83027,212757,1980s,Acrylic latex sealants are rendered water-resistant and have improved wet adhesion to a variety of substrates by incorporating hydrophobic resins and an aminosilane hydrolyzate therein.,4340524
83051,357103,1980s,,D296376
83059,348368,1980s,"A toy liquid ejecting device includes a refillable liquid supply reservoir which is connected to a discharge chamber by a gravity operated check valve. A selectively operable actuator pressurizes fluid within the discharge chamber to effect a pressurized liquid stream discharge to the atmosphere. A spring actuated check valve in the discharge path closes to permit refilling of the discharge chamber during recycling of the actuator. The enclosure for the device is formed and sized to resemble a futuristic device, such as a laser weapon, and includes a mounting bracket for detachably mounting the device on the handle bars of a bicycle or other vehicle.",4209113
83108,553003,1980s,"The specification discloses an interconnected multiple circuit module (10) including a connector assembly (14) for interconnecting two circuit modules (12) each having at least one circuit board assembly (16). The connector assembly (14) includes pins (26) extending through the circuit board assemblies (16) and a free connector block (28) for receiving the pins in opposite ends. The pins (26), connector block (28) and contacts (40) within the block are preferably adapted to provide differential mechanical resistances on opposite ends of the block between the pins to facilitate controlled predictable electrical connection of the circuit modules (12).",4514784
83110,434504,1980s,"In a phase reversed bit stream, to increase the power in the fundamental frequency and reduce harmonics, each group of positive and negative ON bits is stretched by one pulse width. A stretch of slightly less than one pulse width may also be used to prevent glitches. This invention is useful in an optical raster output scanner where a greater amount of power in the fundamental frequency will result in a grater image intensity for the same data rate.",4814636
83118,51389,1980s,"A tape position data recording and reproduction method whereby the start points of all programs recorded on the tape can readily be determined merely by playing the tape for a very short time in the reproduction mode. Position data related to a present program and position data related to all subsequent programs are repeatedly recorded at predetermined positions in digital data recording tracks, which are provided as extensions of the tracks containing the video signal. Once the numerical value indicative of the start position of the desired program has been determined, the tape can readily be advanced to that point.",4587577
83146,197820,1980s,An apparatus for drying particulate material includes an elongate housing having a chamber therein. A drum is positioned in the housing and has opposite ends thereof extending through open ends of the housing. The drum is mounted for rotation about its longitudinal axis. The exterior surface of the drum and the interior surface of the housing are spaced apart and form an annular space adapted for flow of heating medium therealong. An inlet opens into the annular space and is directed for introducing heating medium in a generally tangential direction relative to the annular space such that the heating medium flows in a generally vortex manner along the length of the annular space to the outlet. A tube is positioned in the drum and extends along a major portion of the length of the drum. The tube is in flow communication with the annular space for receiving heating medium therefrom. The heating medium flows along the tube for heating the particulate material in the drum and the heating medium in the tube is discharged into the interior of the drum for direct contact with the particulate material and further heating thereof. The material to be dried is introduced into one end of the drum and discharged from the other end of the drum after drying.,4205458
83192,415782,1980s,"A suction collection system particularly suitable for drawing fluids from a patient area and storing the fluids for later use or disposal, which is operable in any orientation of the device, thereby providing a field operable system which may be transported in battlefield conditions. The portable suction system consists of a cylindrical evacuating chamber with a top sealing cap. A suction port on the sealing cap is connected to the fluid collection bag, which consists of a laminar flexible plastic bag having an air permeable, liquid impermeable patch or portion through which air may pass for purposes of providing a vacuum suction, yet the collected fluids will remain in the bag. The suction power is provided by a vacuum pump which is electronically regulated by periodically energizing and de-energizing the pump to conserve power supply energy.",4740202
83258,352401,1980s,"A vibration insulating device for preventing vibration from being transmitted from an engine to a vehicle body in an automotive vehicle. The vibration insulating device is comprised of an elastic support member bonded between an inner cylinder connected to the engine and an outer cylinder connected to the vehicle body. The elastic support member is formed with a hollow which is located on an upper side of an imaginary horizontal plane containing the axis of the inner cylinder. The hollow functions to prevent a considerable tensile force from being applied to the elastic support member. Two small liquid chambers are formed between a part of the elastic support member and the inner periphery of the outer cylinder, and located on a lower side of the imaginary vertical plane. The two small liquid chambers communicate through an orifice passage. Additionally, one of the two small liquid chambers is adjacent to an air chamber through a flexible diaphragm.",4872650
83266,274108,1980s,"Disclosed are improved positively charged electrostatic toner compositions comprised of a polyblend mixture of a crosslinked copolymer composition, and a second polymer, pigment particles, a wax component of a molecular weight of from 500 to about 20,000, and a charge enhancing additive. These compositions are particularly useful in imaging systems wherein release oils, such as silicone, are not required.",4556624
83269,80427,1980s,"A method for the preparation of a chromium, molybdenum or tungsten (Group VIB metal) promoted single phase vanadium(IV)bis(metaphosphate) catalyst useful for the vapor phase oxidation of hydrocarbons and particularly the oxidation of linear C.sub.4 unsaturated olefins to prepare maleic anhydride.",4292202
83283,149371,1980s,"A process for producing an expanded or foamed polyolefin panel with a decorative surface wherein a polyolefin or a mixture of a polyolefin with rubber and/or a synthetic resin miscible therewith is blended homogeneously with a crosslinking agent and a blowing agent and shaped into a panel-like matrix below the decomposition temperature of the blowing agent and the activation temperature of the crosslinking agent; a film of a thermoplastic synthetic resin, imprinted in accordance with a pattern with printing ink on one surface side, is applied unilaterally or bilaterally to the matrix, with the imprinted surface side facing the matrix; and then the matrix, with the film applied, is crosslinked and expanded by heating to a temperature above the activation of the crosslinking agent and the decomposition temperature of the blowing agent.",4696709
83284,170806,1980s,A number of displays are made by the combination of numerals and pictographs on an indicator which provides numerical values of information obtained from desired signals selected from display signals wherein units and meanings of the numerical values are obtained by operating a single selection switch which drives a selector and a single reset switch which resets a driving distance computing circuit and a running time computing circuit. The selection switch and the reset switch are installed integrally on the face plate of the single indicator used.,4663718
83301,77029,1980s,"Ozone generated for chemiluminescent reaction in an analyzer for the measurement of oxides of nitrogen, for example, is purified by passing the ozone through a bed of silica gel, thereby removing substances that interfere with the analysis.",4236895
83316,274885,1980s,"A bearing mounting system for mounting and retaining a rotatable shaft between first and second bearings mounted to first and second spaced frame members of a machine frame, utilizing commercially available bearings, with respective inner and outer races. Both bearings inner races are press fitted onto the shaft. A first bearing mount rigidly secures a first bearing outer race to one of the frame members. A second bearing mount provides for axial movement of the second bearing outer race relative to the second frame member but prevents rotation of that outer race. The second mount includes a round aperture in the second frame member through which the second bearing outer race is axially moveable, and a notch aperture adjacent to the round aperture, and a clamp removably clamped to the outer race and moveable therewith. The clamp is axially but not rotatably moveable within the notch aperture in the second frame member. Preferably the clamp is generally cylindrical and smooth surfaced, and is partially notched to fit over and be fastened to a minor portion of the outer race.",4804277
83322,80836,1980s,An ice aggregate road structure and apparatus for constructing. The road structure comprises crushed ice aggregate from which fines smaller than 0.1 inch have been removed which aggregate is placed in the desired shape and then bonded by a deeply penetrating application of water which bonds aggregate particles at their points of contact. The apparatus includes a distribution box for receiving ice aggregate and distributing it over a road section to be paved coupled with a bond water distributing means for quickly applying bond water after proper distribution and shaping of the aggregate. The distribution and water spray elements are carried on rails which are in turn supported from a pair of spaced apart carriages containing water heating and pumping means and appropriate power sources for operating the equipment. The carriages are spaced apart to allow trucks to deliver aggregate. The distributing means support elements may be inclined to increase the elevation of road surface or to generate bank in the road. The entire apparatus is designed to move forward over each section of road immediately after construction so that the road structure may be produced without disturbing the underlying earth surface.,4544304
83329,84475,1980s,"A method of forming an aligned vertical oxide fuse and emitter using a single mask. The mask includes an opening through which impurities are introduced into the base region through a first layer of insulation and which is subsequently used to form the emitter aperture through the first insulative layer. The thin fuse oxide is formed by non-selective oxidation after removal of the mask. Alternatively, the impurities may also be introduced through the emitter aperture or from doped thin fuse oxide after removal of the mask. The resulting integrated circuit includes at least three regions of oxidation of three thicknesses, in descending order, field oxide, device opening or gate oxide and fuse oxide.",4701780
83336,432674,1980s,"Disclosed are positively charged toner compositions comprised of a thermoplastic resin, a pigment or colorant, and a charge inducing additive containing an amido dialkyl hydroxy ammonium compound of the formula: ##STR1## wherein R.sub.1, R.sub.2 and R.sub.3 are independently selected from hydrocarbon radicals containing up to 22 carbon atoms; and more specifically R.sub.1 and R.sub.2 are hydrocarbon radicals containing from 1 carbon atom to about 8 carbon atoms, R.sub.3 is a hydrocarbon radical containing from about 8 carbon atoms to about 22 carbon atoms; R.sub.4 and R.sub.5 are independently selected from alkylene radicals having up to 8 carbon atoms, and preferably from 1 carbon atom to about 5 carbon atoms; and A is an anion such as nitrate, dihydrogen phosphate, methyl hydrogen phosphate, and dimethyl phosphate. Developers containing these positively charged toner materials are prepared by adding carrier materials thereto. These developers can then be employed in an electrophotographic imaging system particularly those systems using organic photoreceptors such as polyvinylcarbazole which are charged negatively.",4256824
83350,273600,1980s,"The invention relates to an imaging system for a multi-magnification copier which employs a plurality of gradient index lens arrays to provide a 1.times. as well as a magnification capability. The magnification range of the copier is extended beyond the discrete value associated with each lens array by changing the speed at which the document is normally scanned in the isometric mode so that the image is anamorphically magnified in the scanning direction. This magnification either enlarges or compresses the image at the imaging plane and, due to the narrow scan slit employed with gradient index lens arrays, retains adequate resolution in the developed image.",4394083
83374,118190,1980s,A method for monitoring the alignment of the read-write head of a magnetic media data storage device comprising the steps of: establishing an elasped time window during which the read-write head should pass through a predetermined position if the head alignment has not drifted; checking to determine if the actual time at which the read-write head passes through said position actually falls within said window; and providing a pair of signals for indication of alignment or misalignment.,4491884
83490,557686,1980s,"Benzene or alkylbenzene (e.g., toluene) is alkylated with propylene to produce diisopropylbenzenes or isopropylalkylbenzenes, which in turn are selectively cracked to remove the 1,4-isomer. The resultant product, containing a high level of the 1,3-isomer, is then oxidized to 1,3-dihydroxybenzene or 3-alkylphenol (e.g. 3-methylphenol) in significant yield.",4205189
83492,197783,1980s,"Pyrolysis of N-substituted-1-cylohexene-1,2-dicarboximide gives N,N'-substituted-pyromellitdiimides. Pyrolysis of N-substituted-1-cyclohexene-1,2-dicarboximide in the presence of N-substituted maleimides produces N,N'-substituted-3,4,5,6-tetrahydropyromellitdiimide and the Diels-Alder dimer of N-substituted-1,3-butadiene-2,3-dicarboximide.",4193924
83510,432547,1980s,"A method of transferring data between a data supply and a disk having a track divided into sectors, each sector having an address recording area followed by a data recording area. The method includes detecting a defective area on a data recording area; writing an address of the defective area on the corresponding address recording area; recording data on the data recording area by detecting the defective area with the address and writing part of the data on the data recording area up to the defective area, and writing the remaining data on the data recording area succeeding the defective area; and retrieving the written data by reading the address of the defective area and then reading the recorded data. The apparatus includes a circuit to record a test pattern on the disk, a circuit to sense the recorded test pattern and provide an address of a defective area, a circuit to write the address on the address recording area, a circuit to write data on the disk, and a circuit to read the recorded area.",4214280
83512,51442,1980s,"A device for monitoring the amount of deviation of a light beam in an optical system with which the freedom of design of the system is significantly improved. For each position at which the amount of deviation is to be measured, a beam splitter is provided to divide the light beam at that point into a main beam and a sub-beam. The sub-beam is applied to an optical position detector which detects the amount of deviation of the sub-beam from a predetermined position on the detector, that deviation being related to the amount of deviation of the main beam from its designated optical path. The output of the position detector is used to correct the position of the main beam.",4627725
83519,272924,1980s,"A selective speed xerographic processor having a laser for exposing a photoreceptor at any one of a plurality of different printing rates in response to a video signal is characterized by including an adjustable optical attenuator and an adjustable electrical attenuator for coarsely and more precisely, respectively, normalizing the exposure process. The processor may be used to advantage as a printer for a facsimile systems offering a choice of several different document transmission times.",4197560
83552,168390,1980s,"A slide fastener slider has a body including a pair of upper and lower wings and a support lug projecting from the upper wing, and a pull tab having a pintle pivotably received in a space defined between the support lug and the upper wing. The support lug has an end spaced from the upper wing by a gap communicating with the space. The pintle is normally retained in the space by a resilient pull tab retainer that is normally urged to close off the gap. When the pull tab retainer is manually displaced out of the gap, the pintle can be pulled through the gap to detach the pull tab from the support lug.",4570309
83602,213784,1980s,"A process for the production of organic carboxylic acids by the catalytic reaction of an alcohol and, carbon monoxide in contact with a homogeneous catalyst system of rhodium metal atom, a phosphorus containing ligand in which there is present at least one oxo oxygen atom attached to a phosphorus atom or a carbon atom to form a Z group and the ##STR1## in said Z group is located at least one carbon atom removed from the phosphorus atom of the molecules represented by the formulas ##STR2## and a halogen promoter, under mild reaction conditions, wherein R' is aryl, alkaryl, aralkyl or alkyl, and wherein 1 or more of said R' groups can be substituted with a Z group but not more than 3 of said R' groups in the molecule are so substituted; a is an integer from 0-4; b is an integer from 0-3; and Z is P(O)R'R'; --C(O)OR"" or C(O)R"", wherein R"" is R' or --H.",4670570
83610,169352,1980s,The conventional inverted T ceiling runner structure is used as a wall angle molding for a suspended ceiling system. Appropriate spacing means are utilized adjacent the vertical web of the inverted T runner to space the vertical web from a vertical wall so that the runner may be mounted in position with its horizontal flanges in a horizontal plane perpendicular to the wall.,4406104
83648,395167,1980s,A Communication Manager for controlling communication between intelligent processors. The Communication Manager is a software on silicon building block providing a set of primitive instructions to extend the instruction set of the underlying microprocessor and to provide a real time multitask capability. The Communication Manager handles a command control block (CCB) and shared line receiver and shared line transmitter state registers to receive and send data on a shared communication line.,4509851
83670,273527,1980s,Ribbon feed from a ribbon supply spool is controlled in an incrementing ribbon feed system by a pawl and ratchet brake device actuated by ribbon tension. The mechanism utilizes a single-band spring member to control ribbon tension and ribbon metering.,4373824
83676,74950,1980s,A laminator is disclosed in which a cutter unit is provided so that a cutter is moved across the direction of feed of a continuous thin film to cut off the film to a prescribed size and the film cut off by the cutter unit is laminated on a substrate. A shock absorber for absorbing a shock which takes place when the movement of the cutter of the cutter unit is stoped is provided at a prescribed portion near the stopped position of said cutter or near the prescribed portion of the body of said laminator.,4888083
83694,395402,1980s,An apparatus for cleaning contaminants from a photoreceptor surface including a pivot for moving a flexible web into engagement with the photoreceptor surface. A supply station stores an unused portion of the web and a receiving station accepts the used portions of the web having contaminants thereon removed from the photoreceptor surface. The web is advanced from the supply station to the receiving station in order that successive portions of the web engage the photoreceptor surface. The pivot moves the cleaning web into engagement with the photoreceptor surface upon operator activation and automatically after a given time period out of engagement after a given cleaning cycle.,4568174
83697,395163,1980s,"A method of calibrating a scanning carriage drop-on-demand ink jet ejector wherein the ejector is traversed past a droplet detection light beam while droplets are ejected. By knowing the position of the ejector and relating it to the amount of light blocked by droplets, horizontal errors in drop position can be detected. Similarly, by measuring the amount of time elapsing between droplet ejection and droplet detection, the velocity of the droplets can be determined. Corrections can be made by adjusting the time of ejection and/or the drive pulse amplitude and/or width.",4509057
83716,4748,1980s,"An organic ion exchange material, which comprises a mixture of grains of a first type bearing groups containing exchangeable hydrogen ions and grains of a second type bearing groups containing exchangeable hydroxyl ions and which has been used in a cleaning circuit in a nuclear reactor, is subjected to a treatment before the ion exchange material is further processed for final storage of the radioactive waste products contained therein. The treatment comprises removing hydrogen ions and/or hydroxyl ions or groups containing hydrogen ions and/or groups containing hydroxyl ions from the grains, whereafter the grains of the first type are separated from the grains of the second type, before the grains of each type are further processed separately for final storage of the radioactive waste products contained therein.",4401591
83768,274596,1980s,"The output of a segmented filament lamp is smoothed and made more uniform by placing a reflector assembly adjacent the lamp, the reflector assembly comprising a plurality of joined specular hybrid cylindrical/roof mirror segments. Each segment is located so as to reflect light from a portion of each filament back into the filament plane to form an image of each filament in interfilament space. The lamp output thus appears as a uniform and constant source. This type of improved filament lamp is especially useful in conjunction with an imaging system which requires a very uniform light level at a projection lens or at the surface of a document platen.",4719493
83774,529240,1980s,"A data transmission system comprises an input data transmission line (1), an output data transmission line (4), a branching data transmission line (5) and a jointing data transmission line (7) formed respectively by asynchronous free-running shift registers using a plurality of data latches (101 to 106, 401 & 402, 501 & 502, 701 & 702) and, C elements (111 to 116, 411 & 412, 511 & 512, 711 & 712) respectively. A branching control circuit 3 supplies data to be branched to the branching data transmission line (5) in response to the decision by a branching decision circuit (2) as to the fact that the data to be branched is transmitted on the input data transmission line (1). A jointing control circuit (6) supplies data to be joined to the output data transmission line (4) in response to the decision by an empty buffer verifier (8) as to the nonexistence of data in the input data transmission line (1) and the output data transmission line (4) when the data to be jointed is transmitted on the jointing data transmission line (7). Thus, the data transmission system has branching and jointing functions and if it is used as a constituent of a network, data can be transmitted among asynchronous systems.",4881196
83779,168303,1980s,"A separable slide fastener comprises a pair of warp-knit stringer tapes each having a pair of webs with a wale-free region therebetween, which are interconnected by a connector thread extending across the wale-free region at longitudinal intervals, the wale-free region being receptive of a chain of thread loops for attaching the stringer tape to a fabric. A pair of rows of coupling elements is mounted on opposite longitudinal edges of the stringer tapes, respectively and taken into and out of interdigitating engagement by a slider movable along the rows of coupling elements. The stringer tapes have at one end thereof a separable bottom end stop. A reinforcement member is mounted on each of the stringer tapes at the one end thereof and connected to the separable bottom end stop. The reinforcement member extends between the tape webs across the wale-free region and includes means adjacent to the wale-free region for anchoring an end of the chain of thread loops on the reinforcement member against displacement thereof. The anchoring means comprises a projection extending from a body of the reinforcement member in a direction away from the stringer tape and located substantially in alignment with one of the webs of the stringer tape. The projection serves to prevent the end of the loop chain extending around the reinforcement body from being displaced off the body.",4485532
83821,198260,1980s,"An improved container for plants or the like comprising a pot and a tray releasably securable to the bottom of the pot. The pot and tray are provided with snap lock means for connecting the pot and tray. The snap lock means includes a plurality of first and second protuberances extending upwardly from the tray with each first protuberance having a horizontal notch in one side thereof and with each second protuberance having a horizontal upwardly opening notch in the top portion thereof. The snap lock means further includes a plurality of pairs of apertures in the bottom of the pot, each pair of apertures being positioned in registration with a corresponding protuberance of the tray and each pair of apertures being separated by a horizontal locking bar sized and shaped to be received in the notches of the corresponding first and second protuberances to releasably secure the tray to the pot.",4299055
83824,345428,1980s,,D278377
83857,166950,1980s,"A plurality of keys are mounted in parallel columns on a key supporting panel for reciprocation between upper, inactive positions and lower, active positions. Each key comprises a translucent core having a legend on its upper end, a conductor on its lower end, and an opening therethrough intermediate its ends. Each core is mounted for reciprocation at its lower end in a plastic sleeve, which is removably mounted by a flexible detent in one of the openings in the panel, and is surrounded adjacent its upper end by a flexible sleeve or hood which resiliently urges the key core to its upper position. In each column of key cores the openings in the latter register with each other, and an elongate electroluminescent strip extends through the registering openings and beneath the panel to prevent accidental withdrawal of the keys, and to illuminate the legends on a column of keys when energized.",4806908
83869,559257,1980s,"A cathode ray tube is used for quality control in conjunction with a method and apparatus for monitoring seismic data gathers. As seismic reflection data is acquired, it is displayed on a cathode ray tube and visually monitored to determine whether information channels are to be deleted due to excess noise, improper amplification, etc., prior to recording the acquired data.",4574358
83889,558597,1980s,Inactive zeolites such as NaZSM-5 are activated by steaming in the presence of a binder such as alumina.,4443554
